,SVM-Train,SVM-Test,RFC-Train,RFC-Test,Logistic-Train,Logistic-Test,MLP-Train,MLP-Test,ratio
51,0.922625596,0.887300715,1,0.969763606,0.812981298,0.809785596,0.998533187,0.934579439,0.4
52,0.907443876,0.86540732,1,0.961038961,0.554942891,0.528335301,1,0.907910272,0.4
53,0.913043478,0.880728555,1,0.956521739,0.79005092,0.790246769,0.998433216,0.891304348,0.4
54,0.910435497,0.875,1,0.958743842,0.751437962,0.72229064,0.972884141,0.872536946,0.4
55,0.914798206,0.885696822,1,0.96393643,0.813289849,0.820293399,1,0.91198044,0.4
56,0.930176565,0.889290012,1,0.95788207,0.841894061,0.830926594,1,0.911552347,0.4
57,0.997433077,0.994502474,1,0.996151732,1,1,1,1,0.4
58,0.987532087,0.983507422,1,0.984057174,1,0.999450247,1,0.993402969,0.4
59,0.99339934,0.990104453,1,0.971962617,1,1,1,0.997251237,0.4
60,1,1,1,0.999450247,1,1,1,0.999450247,0.4
61,0.998166483,0.998350742,1,0.995052226,1,1,1,1,0.4
62,0.993766043,0.991753711,1,0.981858164,1,1,1,1,0.4
63,0.997798973,0.98349835,1,0.943894389,1,1,1,0.99229923,0.4
64,0.997433077,0.991753711,1,0.963166575,1,1,0.999633297,0.995601979,0.4
65,0.994866153,0.98239824,1,0.932343234,1,1,1,0.99339934,0.4
66,0.995966263,0.986805937,1,0.950522265,1,1,1,0.997251237,0.4
67,0.995232857,0.992303463,1,0.969213854,1,1,1,0.992853216,0.4
68,0.919049714,0.881214254,1,0.968763748,0.815222173,0.811262648,1,0.930048394,0.5
69,0.907372401,0.866320265,1,0.953235711,0.56758034,0.538025508,0.99952741,0.906471422,0.5
70,0.915843912,0.883458647,1,0.946898496,0.789844852,0.78806391,0.999059709,0.886278195,0.5
71,0.902907836,0.872843765,1,0.945293248,0.751108921,0.723509118,0.97141449,0.879743716,0.5
72,0.917318982,0.881173594,1,0.965770171,0.820450098,0.817603912,1,0.904645477,0.5
73,0.922484352,0.894077997,1,0.950890708,0.836783823,0.833413577,1,0.904188734,0.5
74,0.990321161,0.984161901,1,0.995160581,1,1,1,1,0.5
75,0.986801584,0.982402112,1,0.983282006,0.997800264,0.994280686,0.999120106,0.992960845,0.5
76,0.995600528,0.98900132,1,0.978882534,1,1,1,0.999560053,0.5
77,1,1,1,0.999560053,1,1,1,0.999560053,0.5
78,0.997800264,0.998680158,1,0.995160581,1,1,1,1,0.5
79,0.992520897,0.989881214,1,0.981962165,1,1,1,1,0.5
80,0.996478873,0.982834507,1,0.945422535,1,1,1,0.993397887,0.5
81,0.994280686,0.985481742,1,0.962604487,1,1,0.995600528,0.97800264,0.5
82,0.992517606,0.976242851,1,0.934887813,1,1,1,0.986361637,0.5
83,0.996040475,0.984601848,1,0.942806863,1,1,1,0.996040475,0.5
84,0.996040475,0.992960845,1,0.969643643,1,1,1,0.99208095,0.5
